control_id,dataset,case_id,source_case_id,presence_stratum,class_stratum,original_text,assigned_text,original_text_sha256,assigned_text_sha256,source_is_self,text_changed
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00001_gl_ax_t1,medclipseg_brisc:brisc2025_test_00254_gl_sa_t1,present,glioma,Findings indicate a glioma tumor situated in the center area.,Imaging demonstrates a glioma tumor occupying the center region.,49a9033e92c1cc8c75585e7dcb4acbd2f770be64808e725de0a9aecc4173d04f,a01ed7c9def4eda066a3b438eae4a6413519b7d146e90aff0e0b2cbe2335074a,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00002_gl_ax_t1,medclipseg_brisc:brisc2025_test_00112_gl_co_t1,present,glioma,Detected a glioma neoplasm in the center region of the brain.,Detected abnormal growth of glioma tumor in the center part.,99ea01dabfc2ab57f311e00f13b1d2af004d2c83dc181a2cf4933defa46db093,4a8f6a8eef57ba18fca9754ccce00339f987f7466099e06c38a0ba7eea1a2c5b,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00003_gl_ax_t1,medclipseg_brisc:brisc2025_test_00222_gl_sa_t1,present,glioma,Detected glioma lesion located at the center area.,Detected glioma lesion located at the upper area.,8106ef524d37f3628052f2aafb7c8d13fcac634c9226294f4eb5619536dcc65d,b642ce657d557a39cc6897d9d063628acaac76d1030fa89f05745e840ae15447,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00004_gl_ax_t1,medclipseg_brisc:brisc2025_test_00137_gl_co_t1,present,glioma,A glioma tumor is present in the center region of the brain.,A glioma tumor is present in the upper region of the brain.,f0e2eb7a6f37bb448676b1c15e70b8e9e7eed4b9a13c461b70bd007a02b0ce75,85fe57979fda2d3e8da38e195bdbe8ebd3cc25f988f78a81533c4c45e8b7ea0d,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00005_gl_ax_t1,medclipseg_brisc:brisc2025_test_00249_gl_sa_t1,present,glioma,Imaging reveals a glioma abnormality located in the center.,Imaging reveals a glioma abnormality located in the upper.,76b2f2dc3c1dff710cd5b1e8963fa97211c6059a3b8d591f4a25805fec81821c,e6c76a7c705dfa210fadd08a1ce5d14a50f751098d705df7801d243bd940c88e,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00006_gl_ax_t1,medclipseg_brisc:brisc2025_test_00050_gl_ax_t1,present,glioma,The MRI shows a glioma mass located within the upper region.,The center brain region contains a detected glioma tumor.,ec06327044ca1cb463cae13b7f8301ad3d95b75ee189f4d90ed4490a7c951d88,c835f23603372fcba8de3c96acdc868564af083f48fd74d6265d3e5e36039428,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00007_gl_ax_t1,medclipseg_brisc:brisc2025_test_00022_gl_ax_t1,present,glioma,A glioma tumor can be seen in the lower portion of the brain.,A glioma tumor is present in the center region of the brain.,b166f38fb56762aa76de308da80779f23af33cfadfac43718b8283d3e01c75bc,f0e2eb7a6f37bb448676b1c15e70b8e9e7eed4b9a13c461b70bd007a02b0ce75,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00008_gl_ax_t1,medclipseg_brisc:brisc2025_test_00116_gl_co_t1,present,glioma,A glioma tumor can be seen in the center portion of the brain.,A glioma tumor has been identified in the center area.,ff3ec6112afd48df3de951c60f6b60b8b5ea9a99f92e2d539b059ae28c308267,5c729ca74b49bb95f650b97140a4416882bcd9839ff19a6872c1977cdb14d443,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00009_gl_ax_t1,medclipseg_brisc:brisc2025_test_00107_gl_co_t1,present,glioma,Imaging identifies a glioma tumor in the center quadrant.,Imaging reveals a glioma abnormality located in the center.,976c2709a844aa12b7f0f67def4065648ff97d89849741d8a4c0215d364413e3,76b2f2dc3c1dff710cd5b1e8963fa97211c6059a3b8d591f4a25805fec81821c,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_brisc,medclipseg_brisc:brisc2025_test_00010_gl_ax_t1,medclipseg_brisc:brisc2025_test_00169_gl_sa_t1,present,glioma,A focal glioma mass is identified in the center region.,A glioma tumor can be seen in the center portion of the brain.,871db0f9243cc24f0f3a21024ba26e11de397e7a8b990df8cb2f08528ab83955,ff3ec6112afd48df3de951c60f6b60b8b5ea9a99f92e2d539b059ae28c308267,0,1
