claim_id,claim,status,evidence,allowed_location
data_eval_identity,"All 90 ordered-ablation cells use the same fixed public manifests, split roles, mask rules, threshold, and recorded evaluator implementation",supported,90/90 deep lineage audit; protocol hash abb8ccb2; one manifest hash per dataset; one common execution-code digest,methods_results
shared_policy_scope,The R11 shared plan is a separately frozen training-policy amendment on the V3 data/evaluation protocol,supported,augmentation_plugins.py routing audit; shared plan enables multi-geometry plus affine/translation/zoom for all five datasets,methods_limitations
factorial_completeness,The retrospective matrix contains 90 unique training cells and 360 fixed-checkpoint prompt-control exports,supported_with_log_exception,90 unique checkpoint/run-config hashes recomputed or checked; 89 pristine 100-epoch logs; one intermediate COVID seed789 mixed log remains checkpoint-traceable,methods_supplement
base_contrast,The complete configuration exceeds the horizontal-flip Base reference by 1.46 Dice pp,supported_posthoc,case-first Public-5 95% CI +0.95 to +1.99,abstract_results
shared_policy_attribution,The shared training policy explains nearly all of the observed Public-5 macro gain,supported_posthoc,Base+plan minus Base +1.42 pp; complete minus Base+plan +0.04 pp with CI -0.40 to +0.41,abstract_results_discussion
rewrite_accuracy,Prompt rewriting improves accuracy under an exactly matched image-mask plan,not_supported,complete minus no-rewrite -0.09 pp; 95% CI -0.30 to +0.10,results_discussion_limitations
atconv_execution,ATConv is active in the reported graph,supported_limited,60/60 ATConv-designated logs register the expected targets; repeated runtime hooks show two active projector replacements and two dormant neck replacements,methods_results_supplement
atconv4,Four ATConv replacements contribute to the reported forward graph,not_supported,two of four registered modules have zero forward calls,none
prompt_identity_unstratified,True privileged prompts outperform unstratified shuffled prompts,supported_privileged,Public-5 true-minus-shuffled +14.66 Dice pp; positive dataset intervals,results
prompt_identity_stratified,True privileged prompts outperform presence/class-stratified derangement,supported_posthoc,Public-5 +5.63 Dice pp; 95% CI +4.71 to +6.67; 3413/3426 strings changed,results_supplement
clinical_language_grounding,The public prompt controls demonstrate clinical-report understanding,not_supported,prompts and strata contain mask/label-derived target information; residual is heterogeneous,none
exact_source_reconstruction,The recorded Git commit or available release bundle exactly reproduces the 90-cell execution-code digest,not_supported,executed digest 2732eeac differs from current and July 15/18 bundles; commit omits four hashed files,limitations_supplement
patient_independence,Every public dataset has verified patient-level train/val/test separation,not_supported,public manifests generally lack patient or sequence identifiers; COVID sensitivity is partial,limitations
